Key,Russian,English,German,French,Portuguese,Spanish,Italian,Romanian,Turkish,Polish,Czech,Korean,Chinese
P1,Вам нужно правильно назвать функцию.,You need to name the function correctly.,Sie müssen die Funktion richtig benennen.,,,,,,,,,,
P2,Нет скобок после имени функции.,No parentheses after the function name.,Es gibt keine Klammern nach dem Funktionsnamen.,,,,,,,,,,
P3,Необходимо правильно указать аргументы функции.,You must specify the function arguments correctly.,Sie müssen die Argumente der Funktion korrekt angeben.,,,,,,,,,,
P4,После токена нет запятой.,There is no comma after the token.,Nach dem Token gibt es kein Komma.,,,,,,,,,,
P5,Неправильно указан тип.,The type is incorrect.,Der Typ ist falsch angegeben.,,,,,,,,,,
P6,Неверно указаны аргументы функции.,Incorrect function arguments are specified.,Die Funktionsargumente sind falsch angegeben.,,,,,,,,,,
P7,Неверно указаны типы возвращаемых значений функции.,The return value types of the function are not specified correctly.,Die Rückgabetypen der Funktion sind falsch angegeben.,,,,,,,,,,
P8,Неверно задана конструкция if.,The if construction is set incorrectly.,Das if-Konstrukt ist falsch.,,,,,,,,,,
P9,"Некорректно закрыт блок (функция, импорт и тд.).",,,,,,,,,,,,
P10,Этой конструкции не должно быть вне функции.,,,,,,,,,,,,
P11,Нет разделителя между блоками.,,,,,,,,,,,,
P12,Некорректное имя переменной.,,,,,,,,,,,,
P13,Нет присваивания после имени переменной.,,,,,,,,,,,,
P14,Отсутствует тип.,,,,,,,,,,,,
P15,Нет разделителя между названиями в блоке import.,,,,,,,,,,,,
P16,Непредвиденная ошибка парсера.,,,,,,,,,,,,
PName,!ОШИБКА ПАРСЕРА!,,,,,,,,,,,,
